Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.668575,0.98995
Precision,0.6141063390530341,0.9887281795511222
Recall,0.90725,0.9912
F1,0.7324358689728945,0.9899625468164794
AUC,0.6193504449999999,0.9995382800000001
Specificity,0.4299,0.9887
Sensitivity,0.90725,0.9912
MCC,0.3836860313789511,0.9799030622018541
Kappa,0.33714999999999995,0.9799
Training_Time,1126.2291889190674,1337.2637205123901
Inference_Time,28.31290340423584,21.943259239196777
FPS,1412.7834022848988,911.4416314361554
