Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.6901,0.9785
Precision,0.6240780627896352,0.9611603700848111
Recall,0.95615,0.9973
F1,0.7552229374827218,0.9788967412642324
AUC,0.72859418875,0.9991361950000001
Specificity,0.42405,0.9597
Sensitivity,0.95615,0.9973
MCC,0.4490472423127418,0.9576772022957941
Kappa,0.3802,0.957
Training_Time,1127.70521402359,1339.6188781261444
Inference_Time,28.504448890686035,22.000131368637085
FPS,1403.2897164017857,909.085480667246
