Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.6614,0.9875
Precision,0.6112566347280624,0.9770058708414873
Recall,0.88675,0.9985
F1,0.7236707879381401,0.9876360039564788
AUC,0.6511095175,0.9997047050000001
Specificity,0.43605,0.9765
Sensitivity,0.88675,0.9985
MCC,0.36160957454016723,0.9752360356844101
Kappa,0.3228,0.975
Training_Time,1124.7303030490875,1332.511025428772
Inference_Time,28.5997576713562,22.198825359344482
FPS,1398.613249092722,900.9485716585946
