Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.652625,0.98555
Precision,0.6058829650698949,0.9731072785735165
Recall,0.87335,0.9987
F1,0.7154354993958508,0.9857375512016977
AUC,0.5836919737499999,0.999609405
Specificity,0.4319,0.9724
Sensitivity,0.87335,0.9987
MCC,0.34019259284131925,0.9714360244080935
Kappa,0.30525,0.9711
Training_Time,1125.008674621582,1331.1184000968933
Inference_Time,27.783363103866577,21.692899465560913
FPS,1439.7105149028287,921.9606642141814
