Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.687775,0.98785
Precision,0.6256650493558642,0.9777690725687983
Recall,0.9349,0.9984
F1,0.7496441816177207,0.9879768442927119
AUC,0.6908202649999999,0.99959009
Specificity,0.44065,0.9773
Sensitivity,0.9349,0.9984
MCC,0.43200441808397316,0.9759172682486899
Kappa,0.37555000000000005,0.9757
Training_Time,1181.9765195846558,1333.865739107132
Inference_Time,32.65290880203247,20.973081588745117
FPS,1225.0057182504431,953.6033088591375
