Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.656925,0.9933
Precision,0.6088358705829316,0.9892878397143424
Recall,0.87785,0.9974
F1,0.7190040338268117,0.9933273578328852
AUC,0.62442156375,0.99978104
Specificity,0.436,0.9892
Sensitivity,0.87785,0.9974
MCC,0.3498538258762627,0.9866331711648313
Kappa,0.31384999999999996,0.9866
Training_Time,1111.0566635131836,1321.7852883338928
Inference_Time,27.125725507736206,20.939507484436035
FPS,1474.6149366066568,955.1323026516094
