Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.662175,0.9907
Precision,0.6110749631861923,0.9857453969510988
Recall,0.8922,0.9958
F1,0.7253511107497815,0.9907471893343945
AUC,0.65687221125,0.999505415
Specificity,0.43215,0.9856
Sensitivity,0.8922,0.9958
MCC,0.3653030221959932,0.9814510564119663
Kappa,0.32435,0.9814
Training_Time,1177.3881006240845,1366.620724439621
Inference_Time,32.11584544181824,21.499810457229614
FPS,1245.4911103761808,930.2407590888653
