Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.666675,0.98935
Precision,0.613326534081251,0.9803671345832924
Recall,0.90205,0.9987
F1,0.7301831427704139,0.9894486550750483
AUC,0.62173703125,0.999721055
Specificity,0.4313,0.98
Sensitivity,0.90205,0.9987
MCC,0.37783361855489817,0.978871165694007
Kappa,0.33335000000000004,0.9787
Training_Time,1195.7229883670807,1415.300636768341
Inference_Time,33.14008092880249,24.692566633224487
FPS,1206.9976559784277,809.9603535377113
